abbreviatedAddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotSize,daysOnZillow,Date_sold,price,zestimate,rentZestimate,propertyTaxRate,taxAssessedValue,taxAssessedYear
1311 NE Cornell Rd,Hillsboro,97124,45.52738953,-122.9693375,1,4,5662,7,2021-07-13,410000,410800.0,1999.0,1.13,227400.0,2019
15140 S Burkstrom Rd,Oregon City,97045,45.38792038,-122.5213013,3,4,45302,12,2021-07-13,720000,724100.0,2666.0,1.08,542184.0,2020
20250 S Ferguson Rd,Oregon City,97045,45.31313705,-122.527359,2,4,20473,12,2021-07-13,625000,628600.0,2570.0,1.08,408334.0,2020
11845 SW Wilton Ave,Tigard,97223,45.43429184,-122.8189926,3,3,5662,5,2021-07-13,625000,605200.0,2594.0,1.13,428500.0,2019
7661 SE Michael Dr,Milwaukie,97222,45.43976212,-122.58547209999999,2,3,7840,12,2021-07-13,485000,487800.0,2694.0,1.08,354065.0,2020
12001 SW Treeview Ct,Tigard,97224,45.41799545,-122.8011932,4,4,6098,5,2021-07-13,642500,643100.0,2910.0,1.13,549990.0,2019
3273 SE 24th Ter,Gresham,97080,45.48011398,-122.3990936,2,3,5227,8,2021-07-13,423000,423300.0,2135.0,1.12,327840.0,2020
7066 N Williams Ave,Portland,97217,45.57429504,-122.6664963,1,4,4791,12,2021-07-13,490000,636000.0,2965.0,1.12,481460.0,2020
6821 SE 76th Ave,Portland,97206,45.47317123,-122.58579250000001,2,3,9583,12,2021-07-13,525000,525800.0,2181.0,1.12,430030.0,2020
1636 SE Knapp St,Portland,97202,45.47142029,-122.64890290000001,3,2,871,12,2021-07-13,490000,490700.0,2250.0,1.12,415610.0,2020
5605 SE 65th Ave UNIT A,Portland,97206,45.48239136,-122.5973587,1,2,5000,12,2021-07-13,478000,501600.0,2174.0,1.12,438690.0,2020
13580 NW Trevino St,Portland,97229,45.54934311,-122.8167267,3,5,5662,9,2021-07-13,850000,850800.0,3640.0,1.13,695880.0,2019
13434 SW Ascension Dr,Tigard,97223,45.42250443,-122.8221436,3,4,15245,5,2021-07-13,879000,879800.0,3460.0,1.13,617400.0,2019
3221 SE 75th Ave,Portland,97206,45.49895477,-122.58621979999998,2,2,6534,12,2021-07-13,560000,560800.0,2084.0,1.12,416360.0,2020
3623 SE Nehalem St,Portland,97202,45.46590424,-122.6256561,3,3,4791,9,2021-07-13,730000,731100.0,2348.0,1.12,628520.0,2020
5377 SE Frances Ct,Hillsboro,97123,45.5090065,-122.92673490000001,3,3,6969,7,2021-07-13,635000,636200.0,2580.0,1.13,437520.0,2019
350 SW 37th Ter,Gresham,97080,45.4707489,-122.435318,3,3,7405,8,2021-07-13,596000,596900.0,2849.0,1.12,405760.0,2020
1845 Palisades Terrace Dr,Lake Oswego,97034,45.41080856,-122.67996219999999,3,3,41382,12,2021-07-13,2990000,3007200.0,14673.0,1.08,2117723.0,2020
16454 SW 132nd Ter,Tigard,97224,45.40056992,-122.81246189999999,3,3,3920,5,2021-07-13,630000,632200.0,2862.0,1.13,500190.0,2019
4724 SW Vacuna St,Portland,97219,45.44159317,-122.72569270000001,2,3,4356,13,2021-07-12,480000,482200.0,2765.0,1.12,419680.0,2020
2718 SE Meadowlark Dr,Hillsboro,97123,45.49846649,-122.95461270000001,2,4,9147,9,2021-07-12,511000,512500.0,2065.0,1.13,370400.0,2019
4516 NE 9th Ave,Portland,97211,45.55575943,-122.6563263,1,2,4791,13,2021-07-12,625000,626100.0,2295.0,1.12,501130.0,2020
2356 SE 56th Pl,Hillsboro,97123,45.501453399999995,-122.92438510000001,2,3,6969,8,2021-07-12,450000,451100.0,2033.0,1.13,350020.0,2019
16360 NW Rossetta St,Portland,97229,45.56761551,-122.84599299999999,3,3,2613,13,2021-07-12,570000,618900.0,2395.0,1.13,484490.0,2019
6836 NE Grand Ave,Portland,97211,45.57237244,-122.66004939999999,2,3,4791,13,2021-07-12,550000,551400.0,2327.0,1.12,421950.0,2020
7393 NE Nelly St,Hillsboro,97124,45.5179863,-122.9012375,3,3,2613,9,2021-07-12,380000,381100.0,1996.0,1.13,264700.0,2019
