abbreviatedaddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotsize,date_sold,price,zestimate,median_income
1325 NW Benfield Dr,Portland,97229,45.53130722,-122.7713547,4,5,20037,11/19/2020,1099000,1243300,70082
12838 NW Oconnor Dr,Portland,97229,45.56081009,-122.8089752,4,5,4791,7/15/2021,860000,838600,70082
15528 NW Brugger Rd,Portland,97229,45.56905746,-122.8370361,3,3,1306,5/18/2021,477935,495100,70082
216 NW 117th Ave,Portland,97229,45.52099609,-122.7979889,2,4,2614,9/24/2020,540000,623300,70082
4656 NW Huserik Dr,Portland,97229,45.55340576,-122.8304291,3,2,3920,5/18/2021,477000,494100,70082
14830 NW Jewell Ln,Portland,97229,45.5577507,-122.8296814,3,4,8276,11/19/2020,795000,899400,70082
3829 NW Devoto Ln,Portland,97229,45.55108261,-122.7738342,4,4,9182,5/18/2021,360000,370400,70082
14763 NW Orchid St,Portland,97229,45.57156754,-122.8289871,3,4,2613,7/5/2020,522000,610700,70082
2059 NW Wheatfield Way,Portland,97229,45.53527451,-122.8212128,4,5,20037,9/24/2020,1565000,1806900,70082
10049 NW Skyline Heights Dr,Portland,97229,45.55106735,-122.7806473,4,4,6969,3/31/2021,790000,824500,70082
2947 NW 127th Ave,Portland,97229,45.54090118,-122.8078842,3,4,10890,9/24/2020,921500,1063600,70082
11345 NW Kenzie Ln,Portland,97229,45.5307045,-122.7936478,3,4,6969,9/24/2020,675000,779100,70082
15141 NW Cosmos St,Portland,97229,45.5734787,-122.8331833,3,3,3049,5/26/2021,515027,531500,70082
12015 NW Marshall St,Portland,97229,45.53126907,-122.8005142,3,4,9147,4/15/2021,672000,702800,70082
3165 NW Miller Rd,Portland,97229,45.54538345,-122.7738037,2,1,1742,4/4/2021,355000,372700,70082
1748 NW 143rd Ave,Portland,97229,45.53227234,-122.8228455,1,2,2078,11/19/2020,295000,335700,70082
2070 NW 113th Ave,Portland,97229,45.53455734,-122.7920837,5,5,25700,3/26/2021,1200000,1258800,70082
10040 NW Cornell Rd,Portland,97229,45.52637863,-122.7803345,2,4,12196,11/19/2020,300000,503400,70082
10172 NW Barnhart Ln,Portland,97229,45.53156662,-122.7816315,4,4,4791,5/24/2021,850000,871100,70082
15148 NW Ridgeline St,Portland,97229,45.57559967,-122.8342133,3,3,3920,9/24/2020,649990,756400,70082
15367 NW Casey Dr,Portland,97229,45.55033112,-122.8358459,3,4,9147,6/9/2021,885000,902400,70082
1188 NW 92nd Ave,Portland,97229,45.52808762,-122.7712936,3,3,3049,10/29/2020,525000,603000,70082
10024 NW Skyline Heights Dr,Portland,97229,45.55073166,-122.7797089,4,4,10018,5/18/2021,1125000,1152800,70082
811 NW Skyline Crest Rd,Portland,97229,45.52854156,-122.7560654,2,4,14810,4/15/2021,999999,1036600,70082
11835 NW Laidlaw Rd,Portland,97229,45.55496597,-122.7992554,1,3,219106,4/14/2021,1360000,1423900,70082
15020 NW Olive St,Portland,97229,45.57337189,-122.831871,3,4,2613,4/4/2021,598500,635400,70082
10365 NW Lee St,Portland,97229,45.52027512,-122.7838821,2,3,11761,10/19/2020,497000,572700,70082
10241 NW Langworthy Ter,Portland,97229,45.54927826,-122.7821274,4,4,8276,11/18/2020,1215000,1330200,70082
2948 NW Grace Ter,Portland,97229,45.54089737,-122.7935638,4,5,3920,6/9/2021,780000,793200,70082
10823 NW Ridge Rd,Portland,97229,45.54236603,-122.7880249,3,4,7405,3/1/2021,909500,974500,70082
4031 NW Devoto Ln,Portland,97229,45.54924393,-122.7782974,4,5,11325,3/31/2021,875000,913200,70082
14753 NW Olive St,Portland,97229,45.57267761,-122.828186,3,4,4356,6/9/2021,800000,813100,70082
14360 NW Greenwood Dr,Portland,97229,45.56100845,-122.8245697,3,5,5227,5/18/2021,739000,762200,70082
7639 NW Blue Pointe Ln,Portland,97229,45.53224182,-122.7564392,3,3,15681,5/24/2021,920000,938500,70082
9021 NW Bartholomew Dr,Portland,97229,45.53874207,-122.770401,4,4,9583,3/1/2021,1000000,1056200,70082
17468 NW Woodrush Way,Portland,97229,45.57671738,-122.8565369,4,5,5662,4/15/2021,675000,706100,70082
13187 NW Dumar St,Portland,97229,45.54033279,-122.8130569,3,4,13068,6/9/2021,736125,750200,70082
15741 NW Clubhouse Dr,Portland,97229,45.5459404,-122.8392868,3,2,3920,10/29/2020,510000,585700,70082
13845 NW Gargany St,Portland,97229,45.56292725,-122.8193436,3,4,4356,3/1/2021,860000,921400,70082
16150 NW Claremont Dr,Portland,97229,45.55086517,-122.843338,3,2,5662,5/26/2021,725000,744700,70082
10260 NW Cornell Rd,Portland,97229,45.52614975,-122.7823715,3,4,40946,9/27/2020,680000,784000,70082
12611 NW Lilywood Dr,Portland,97229,45.53801346,-122.8062592,3,4,10454,9/27/2020,900000,1037600,70082
15579 NW Westbrook Way,Portland,97229,45.56224823,-122.8351974,3,4,6969,3/1/2021,725000,777100,70082
13435 NW Payne Dr,Portland,97229,45.55047226,-122.8153229,3,4,6098,7/16/2020,745000,869000,70082
