,address,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotsize,date_sold,price,zestimate,median_income
4403,15244 SW Alderbrook Pl,Tigard,97224,45.40984726,-122.7719574,2,2,4356,12/7/2020,407500,455400,46558.0
4404,13101 SW Saint James Ln,Tigard,97224,45.41846085,-122.811821,3,4,6534,5/12/2021,659000,679200,46558.0
4405,15386 SW Thames Ln,Tigard,97224,45.41070938,-122.8354874,4,4,6098,4/14/2021,800000,837300,46558.0
4406,7751 SW Alder St,Tigard,97224,45.40492249,-122.75674440000002,3,3,3049,6/17/2021,541000,547100,46558.0
4407,9010 SW Inez St,Tigard,97224,45.41499329,-122.7698822,3,4,6969,6/17/2021,1105000,1118400,46558.0
4408,11799 SW Aspen Ridge Dr,Tigard,97224,45.41313553,-122.79885859999999,3,4,10018,6/17/2021,750000,758900,46558.0
4409,13714 SW Leah Ter,Tigard,97224,45.41584396,-122.8182144,3,4,6969,6/17/2021,750000,758500,46558.0
4410,10454 SW Kent St,Tigard,97224,45.40056992,-122.78468319999999,3,3,4791,6/17/2021,550000,556500,46558.0
4411,12950 SW Summit Ridge St,Tigard,97224,45.40990448,-122.8102112,3,5,5227,6/17/2021,655000,662800,46558.0
4412,14511 SW 128th Pl,Tigard,97224,45.41501236,-122.80902859999999,3,3,6969,9/10/2020,600000,696200,46558.0
4413,15475 SW Oaktree Ln,Tigard,97224,45.40816879,-122.7719574,2,2,3920,6/17/2021,450000,455700,46558.0
4414,15646 SW 81st Ave,Tigard,97224,45.40689468,-122.7608337,3,4,3484,6/17/2021,595000,603700,46558.0
4415,10889 SW Dover Ct,Tigard,97224,45.39984512,-122.78910060000001,3,4,10454,6/17/2021,612500,621500,46558.0
4416,12001 SW Treeview Ct,Tigard,97224,45.41799545,-122.8011932,4,4,6098,7/13/2021,642500,643100,46558.0
4417,12045 SW Aspen Ridge Dr,Tigard,97224,45.41195679,-122.80134579999999,3,6,10454,9/10/2020,899900,1040500,46558.0
4418,15550 SW 133rd Ave,Tigard,97224,45.40741348,-122.8114777,4,5,99752,9/10/2020,1375000,1595000,46558.0
4419,14996 SW Lookout Dr,Tigard,97224,45.41165161,-122.8091354,3,4,6098,12/8/2020,569000,635600,46558.0
4420,16845 SW Cambridge Dr,Portland,97224,45.39819717,-122.7576294,2,3,12632,12/8/2020,600000,681300,46558.0
4421,15748 SW Kerr Ct,Portland,97224,45.42025757,-122.8382568,3,4,6534,9/9/2020,575000,667500,46558.0
4422,14082 SW 121st Ave,Tigard,97224,45.41815186,-122.80206299999999,4,4,12632,5/10/2021,910000,938900,46558.0
4423,11575 SW Cloud Ct,Tigard,97224,45.41662979,-122.7960892,4,5,20908,9/9/2020,649900,754400,46558.0
4424,15700 SW 88th Ave,Tigard,97224,45.40636444,-122.7691727,2,3,8712,5/10/2021,556000,573700,46558.0
